artist,title,album,nof_tracks,key,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,nof notes,%C,%C#,%D,%D#,%E,%F,%F#,%G,%G#,%A,%A#,%B,genre
Megadeth,Crush 'Em,Risk,4,F/Dm,171,99,294,144,227,483,219,472,170,178,177,205,2839,6.023247622402255,3.487143360338147,10.355759070095104,5.072208524128214,7.995773159563227,17.013032758013384,7.713983797111659,16.625572384642478,5.9880239520958085,6.269813314547376,6.2345896442409305,7.220852412821416,metal
Megadeth,Countdown To Extinction,Countdown To Extinction,3,C/Am,119,18,155,1,176,104,53,138,10,181,19,88,1062,11.20527306967985,1.694915254237288,14.595103578154426,0.09416195856873823,16.57250470809793,9.792843691148775,4.990583804143126,12.994350282485875,0.9416195856873822,17.04331450094162,1.7890772128060264,8.286252354048965,metal
Megadeth,Peace Sells,Peace Sells ... But who's buying,4,G/Em,40,116,383,23,1158,72,273,419,41,263,92,264,3144,1.2722646310432568,3.689567430025445,12.181933842239186,0.7315521628498728,36.83206106870229,2.2900763358778624,8.68320610687023,13.326972010178118,1.3040712468193385,8.365139949109416,2.926208651399491,8.396946564885496,metal
Megadeth,Tornado of Souls,Rust In Peace,6,D/Bm,91,335,692,1,1234,131,1047,927,27,794,36,1546,6861,1.3263372686197348,4.882670164699023,10.085993295437982,0.014575134819997084,17.985716367876403,1.909342661419618,15.260166156536947,13.511149978137299,0.3935286401399213,11.572657047077685,0.524704853519895,22.533158431715496,metal
Megadeth,Hanger 18,Rust in peace,5,D/Bm,390,199,2209,47,444,516,776,626,61,485,347,323,6423,6.071929005137786,3.098240697493383,34.39202864704966,0.7317452903627588,6.912657636618402,8.033629145259225,12.081581815351083,9.746224505682703,0.9497119725984743,7.550988634594426,5.402459909699518,5.028802740152577,metal
Megadeth,Of Mice and Men,The System Has Failed,3,D/Bm,84,157,38,13,112,23,157,4,10,132,5,165,900,9.333333333333334,17.444444444444446,4.222222222222222,1.4444444444444444,12.444444444444445,2.555555555555556,17.444444444444446,0.4444444444444444,1.1111111111111112,14.666666666666666,0.5555555555555556,18.333333333333332,metal
Megadeth,Youthanasia,Youthansaia,4,F/Dm,187,16,663,64,85,256,34,235,216,346,20,40,2162,8.649398704902868,0.7400555041628123,30.666049953746533,2.960222016651249,3.9315448658649403,11.840888066604997,1.572617946345976,10.869565217391305,9.990749306197964,16.003700277520814,0.9250693802035153,1.8501387604070305,metal
Megadeth,Take No Prisoners,Rust In Peace,4,A/F#m,197,690,257,87,779,98,1219,568,150,433,39,220,4737,4.158750263880092,14.566181127295758,5.425374709731898,1.8366054464851171,16.4450073886426,2.068819928224615,25.733586658222503,11.99071142073042,3.1665611146295127,9.140806417563859,0.8233058898036731,4.644289634789951,metal
SlayER,Mandatory Suicide,South Of Heaven,6,F/Dm,268,18,1528,699,160,401,66,35,41,723,519,114,4572,5.861767279090114,0.39370078740157477,33.420822397200354,15.288713910761153,3.499562554680665,8.770778652668417,1.4435695538057742,0.7655293088363955,0.8967629046369203,15.813648293963253,11.351706036745407,2.493438320209974,metal
slayer,hell awaits,hell awaits,5,F/Dm,316,123,2687,404,458,880,301,267,164,624,402,432,7058,4.477189005383962,1.742703315386795,38.07027486540097,5.724001133465571,6.4890903938792865,12.468121280816096,4.264664210824596,3.782941343156702,2.3236044205157267,8.841031453669594,5.695664494190989,6.1207140833097196,metal
